HT=0,HT=0.05,HT=0.1,HT=0.3,HT=1
0.2647,0.2643,0.2631,0.2616,0.2607
0.3081,0.3017,0.2948,0.2707,0.2663
0.4357,0.4221,0.4158,0.3613,0.3375
0.5632,0.5493,0.5358,0.4871,0.467
0.6165,0.6011,0.5876,0.5395,0.5288
0.6578,0.645,0.635,0.6041,0.5966
0.6803,0.6686,0.6615,0.641,0.6363
0.6986,0.687,0.6811,0.6655,0.6656
0.7139,0.7025,0.6984,0.6856,0.6839
0.7242,0.7131,0.7102,0.6996,0.6978
0.7314,0.7208,0.7181,0.71,0.7107
0.7364,0.725,0.724,0.7183,0.7201
0.7409,0.7322,0.7301,0.7255,0.7275
0.7437,0.7342,0.7331,0.7299,0.732
0.7471,0.738,0.7384,0.7353,0.7379
0.7488,0.7404,0.74,0.7393,0.7406
0.749,0.7413,0.7413,0.7421,0.7429
0.749,0.742,0.742,0.743,0.7421
0.7494,0.7424,0.7433,0.7447,0.7433
0.7498,0.7425,0.7432,0.7453,0.7441
